,story_score,acting_cast_score,music_score,rewatch_value_score,overall_score,n_helpful,Hit/Flop
156,8.0,9.0,7.5,5.0,8.0,21,Flop
157,9.0,9.0,9.0,6.5,8.5,11,Hit
158,9.0,9.5,8.0,5.0,9.0,19,Hit
159,9.0,9.5,10.0,7.0,9.5,7,Hit
160,8.0,9.0,9.0,6.0,8.5,5,Hit
161,8.0,8.0,8.0,8.0,8.0,8,Flop
162,8.0,8.0,8.0,4.5,8.0,4,Flop
163,9.5,9.5,9.5,9.0,9.5,8,Hit
164,9.5,9.5,8.5,9.5,9.5,11,Hit
166,8.0,8.0,8.0,1.0,5.0,10,Flop
167,7.0,10.0,7.0,4.5,8.0,4,Flop
168,9.5,9.5,9.5,6.0,9.5,3,Hit
169,9.5,8.5,9.0,3.5,8.5,6,Hit
171,9.0,9.0,9.0,8.0,9.5,4,Hit
172,8.0,8.5,8.5,7.5,8.5,1,Hit
173,9.0,9.0,8.0,5.0,9.0,6,Hit
174,8.0,8.0,9.0,6.0,8.0,1,Flop
175,9.5,9.5,8.0,7.5,9.5,3,Hit
176,7.0,7.0,7.0,6.0,8.0,6,Flop
177,8.5,8.5,8.0,2.0,8.0,2,Flop
178,7.0,8.5,7.5,4.0,7.0,0,Flop
179,8.5,7.5,8.5,4.0,8.0,5,Flop
180,7.0,8.0,8.0,1.0,7.0,4,Flop
181,10.0,10.0,10.0,8.0,10.0,3,Hit
182,8.5,8.0,8.0,5.0,8.5,10,Hit
183,10.0,10.0,10.0,10.0,10.0,15,Hit
184,8.5,8.0,8.0,8.0,8.5,3,Hit
185,7.0,6.0,6.0,2.5,6.5,1,Flop
186,8.5,10.0,8.0,1.0,8.0,3,Flop
187,8.0,9.0,8.0,10.0,8.0,3,Flop
188,9.0,9.0,8.0,7.0,8.5,2,Hit
189,8.0,8.0,7.0,6.0,7.5,1,Flop
190,7.5,8.0,7.0,6.0,7.5,1,Flop
191,9.0,9.0,8.0,6.0,8.5,3,Hit
192,8.0,8.0,8.0,6.0,8.0,0,Flop
193,9.0,8.0,8.0,6.0,8.0,6,Flop
194,8.5,5.0,7.0,4.0,7.0,0,Flop
195,9.0,10.0,10.0,7.0,10.0,3,Hit
196,10.0,10.0,10.0,8.0,10.0,10,Hit
197,7.5,10.0,10.0,8.0,8.5,1,Hit
198,9.0,9.0,8.5,10.0,9.0,1,Hit
199,8.0,9.0,8.0,7.5,8.0,1,Flop
200,9.0,9.0,8.5,8.5,9.0,2,Hit
201,4.0,7.0,6.0,4.0,5.5,5,Flop
203,3.0,6.5,4.0,1.5,4.0,0,Flop
204,7.0,8.5,5.0,3.0,7.0,0,Flop
205,6.0,8.0,5.0,5.0,6.0,2,Flop
206,7.0,9.0,8.0,4.0,7.0,2,Flop
207,7.0,8.5,5.0,5.0,7.0,12,Flop
208,9.0,10.0,8.5,9.0,9.0,5,Hit
209,5.0,7.0,7.0,1.0,5.0,9,Flop
210,9.0,9.0,8.0,9.0,9.0,19,Hit
211,9.5,9.5,8.5,9.5,9.5,1,Hit
212,8.0,9.0,7.0,8.0,8.0,1,Flop
213,7.0,8.0,6.0,6.0,7.0,0,Flop
214,6.5,7.0,6.5,5.0,6.5,2,Flop
215,8.0,9.0,8.0,6.0,7.5,7,Flop
216,8.0,8.0,7.0,7.0,8.0,6,Flop
217,7.5,7.5,7.0,7.0,7.0,8,Flop
218,10.0,10.0,9.5,10.0,10.0,3,Hit
219,9.0,9.0,8.0,8.0,9.0,6,Hit
220,8.0,9.5,7.0,6.0,8.0,4,Flop
221,8.0,9.0,7.0,7.0,8.0,2,Flop
222,8.5,7.0,5.0,3.0,6.0,2,Flop
223,6.0,7.5,5.0,3.0,6.0,4,Flop
224,6.0,9.0,5.0,5.0,6.5,19,Flop
225,8.0,9.0,8.5,8.0,8.5,0,Hit
226,7.0,9.0,6.5,6.5,7.5,4,Flop
228,10.0,10.0,9.5,10.0,10.0,24,Hit
230,9.0,9.0,7.5,7.0,9.0,2,Hit
231,7.5,7.0,7.0,5.0,6.5,1,Flop
232,10.0,10.0,8.5,9.0,10.0,4,Hit
233,8.0,8.5,6.0,6.0,7.0,4,Flop
234,7.0,7.0,5.0,5.0,7.0,0,Flop
235,8.5,9.0,7.0,8.5,8.5,0,Hit
236,3.0,5.0,5.0,1.0,3.5,1,Flop
238,7.0,9.5,8.0,7.0,7.5,14,Flop
239,7.5,9.0,8.0,8.0,8.0,9,Flop
240,10.0,10.0,10.0,10.0,10.0,24,Hit
241,5.5,7.0,7.0,5.0,6.0,14,Flop
243,6.5,8.0,7.0,7.0,7.0,6,Flop
244,5.0,7.5,7.5,4.0,6.0,11,Flop
246,7.5,8.5,7.0,7.0,7.5,13,Flop
248,8.0,9.0,8.0,10.0,8.5,19,Hit
249,8.0,9.0,8.0,8.5,9.0,14,Hit
252,7.5,8.5,8.0,6.5,7.5,11,Flop
253,8.0,9.5,7.5,8.0,8.5,12,Hit
254,6.0,7.0,8.0,5.0,6.5,14,Flop
255,7.5,9.0,7.0,5.0,7.5,17,Flop
256,5.0,7.5,7.5,6.5,5.5,29,Flop
257,9.5,9.5,9.0,8.0,9.0,16,Hit
259,7.0,9.0,7.5,7.0,8.5,26,Hit
261,8.5,9.0,10.0,9.0,9.0,24,Hit
263,8.5,9.5,9.0,8.5,9.0,16,Hit
264,7.0,9.5,8.0,7.0,8.0,1,Flop
265,7.5,9.0,7.5,7.5,7.5,16,Flop
266,5.5,8.0,6.5,5.0,6.0,26,Flop
268,9.0,8.0,9.5,8.5,8.0,20,Flop
269,6.0,6.5,7.0,6.0,6.5,23,Flop
271,8.5,9.0,9.5,8.0,9.0,27,Hit
